date,temperature_celcius,wind_km/h,pressure_millibar,precipitation_mm,rain_bool,humidity
2017-02-24,6,13,1014.5,0.0,true,53
2017-03-07,4,7,1018.82,2.0,true,84
2017-04-15,12,6,1018.21,0.0,true,58
2017-04-30,9,4,1010.28,0.1,true,61
2017-06-10,20,5,1019.35,0.0,false,61
2017-03-27,10,5,1021.37,0.0,false,69
2017-02-04,6,12,1006.39,6.0,true,75
2017-02-12,4,4,1020.89,0.0,false,81
2017-04-19,6,20,1026.01,0.0,false,51
2017-05-16,16,5,1027.28,0.0,false,61
2017-06-06,14,9,1011.77,11.0,true,79
2017-03-03,5,3,1010.68,0.0,false,83
2017-06-26,20,4,1013.85,1.0,true,65
2017-05-20,11,5,1022.59,0.2,true,76
2017-03-11,6,4,1020.81,0.0,false,67
2017-02-08,4,6,1018.04,1.0,true,94
2017-03-23,10,7,1012.06,0.0,true,77
2017-02-03,6,11,1009.99,4.0,true,81
2017-02-11,4,4,1019.04,0.0,false,81
2017-03-24,10,6,1019.74,0.0,true,79
2017-03-12,7,3,1014.49,0.0,false,69
2017-05-19,11,8,1016.01,12.0,true,82
2017-06-25,22,7,1017.13,0.9,true,61
2017-02-27,8,12,1009.69,0.4,false,57
2017-03-04,5,10,998.25,0.8,true,82
2017-06-05,17,5,1013.92,0.0,false,69
2017-04-20,6,27,1029.53,0.0,false,46
2017-05-15,15,5,1028.24,0.0,false,66
2017-02-07,2,3,1017.52,0.9,true,92
2017-03-28,12,4,1024.62,0.0,false,61
2017-06-09,18,7,1016.84,0.0,false,60
2017-03-31,12,7,1019.49,0.0,false,56
2017-04-16,12,7,1021.46,0.2,true,59
2017-06-29,14,16,1004.61,7.0,true,83
2017-03-08,4,4,1025.73,0.1,true,88
2017-02-23,10,10,1012.42,0.0,true,53
2017-03-01,5,21,1014.13,2.0,true,80
2017-03-17,12,7,1019.82,0.0,false,60
2017-06-20,24,10,1018.1,0.0,false,47
2017-05-30,22,5,1016.44,0.0,false,52
2017-05-26,18,6,1017.5,0.0,false,60
2017-03-13,9,5,1022.08,0.0,false,67
2017-04-25,12,17,1009.03,12.0,true,74
2017-02-14,4,6,1028.8,0.0,false,79
2017-03-21,10,6,1012.33,0.0,true,63
2017-02-02,4,3,1012.45,0.9,true,91
2017-04-29,7,5,1016.91,0.0,false,66
2017-02-22,10,9,1020.17,0.0,false,69
2017-04-09,14,4,1023.39,0.0,false,58
2017-04-05,10,12,1020.94,0.0,false,58
2017-05-06,10,7,1012.61,11.0,true,89
2017-06-16,22,7,1021.4,0.0,false,57
2017-02-18,2,4,1025.44,0.0,false,83
2017-05-10,12,6,1008.65,2.0,true,67
2017-05-31,22,8,1019.63,0.4,true,69
2017-05-09,11,14,1015.3,0.0,false,61
2017-02-17,4,4,1027.99,0.1,true,88
2017-06-15,24,4,1018.01,1.0,true,73
2017-05-05,10,6,1016.48,0.0,false,71
2017-04-10,16,5,1021.83,0.0,false,52
2017-02-21,9,5,1023.41,0.0,true,76
2017-02-01,8,5,1016.7,0.0,false,86
2017-02-13,1,7,1023.56,0.0,false,87
2017-03-22,9,14,1011.46,2.0,true,72
2017-04-26,8,16,1008.53,3.0,true,83
2017-03-14,8,5,1030.57,0.0,false,61
2017-05-25,18,13,1018.44,0.0,false,52
2017-05-29,22,6,1016.43,0.0,false,53
2017-06-19,22,6,1019.97,0.0,true,58
2017-03-18,10,15,1019.79,0.2,true,67
2017-03-02,7,12,1017.85,2.0,true,80
2017-01-31,5,3,1018.17,4.0,true,97
2017-03-19,12,5,1017.58,0.3,true,77
2017-02-16,5,3,1033.03,0.0,false,78
2017-05-08,11,7,1018.9,0.4,true,75
2017-04-23,10,10,1020.54,0.0,false,55
2017-06-18,22,19,1020.4,0.0,false,58
2017-03-15,8,5,1029.22,0.0,true,62
2017-05-24,19,7,1021.5,0.0,false,62
2017-04-07,12,15,1022.67,0.0,false,51
2017-06-22,26,6,1016.76,0.0,false,53
2017-06-02,20,5,1018.33,0.0,false,63
2017-05-12,12,5,1006.28,4.0,true,88
2017-06-14,23,6,1016.08,8.0,true,77
2017-04-27,4,9,1013.93,1.0,true,83
2017-05-04,10,5,1016.35,5.0,true,87
2017-04-03,12,5,1021.46,1.0,true,73
2017-05-28,22,4,1019.3,0.0,false,62
2017-04-11,12,8,1021.82,0.0,false,58
2017-02-20,5,3,1025.38,0.0,true,66
2017-02-19,5,5,1025.67,0.0,false,70
2017-04-12,12,5,1020.29,0.0,false,53
2017-05-27,21,4,1018.71,0.0,false,60
2017-05-03,10,4,1017.76,0.1,false,77
2017-04-28,6,6,1015.49,0.5,true,77
2017-06-13,23,5,1016.17,0.0,false,66
2017-05-11,13,6,1002.04,3.0,true,89
2017-06-01,18,5,1020.93,0.9,true,74
2017-02-28,7,27,1002.43,9.0,true,68
2017-06-21,24,4,1016.29,0.0,true,56
2017-04-04,12,6,1021.16,0.0,false,66
2017-04-08,12,5,1022.23,0.0,false,60
2017-05-23,18,4,1020.21,0.0,false,57
2017-03-16,10,4,1024.34,0.0,false,65
2017-06-17,19,15,1022.68,0.0,false,52
2017-04-24,12,8,1016.11,0.0,false,47
2017-05-07,10,7,1018.46,1.0,true,86
2017-03-20,11,9,1014.0,0.0,false,71
2017-02-15,4,3,1035.26,0.0,false,81
2017-06-04,18,13,1016.51,6.0,true,76
2017-05-14,15,4,1022.75,0.0,true,74
2017-06-12,24,4,1017.18,0.0,false,60
2017-05-02,6,5,1017.13,9.0,true,92
2017-04-01,10,16,1014.64,0.0,false,59
2017-06-28,20,15,1002.81,3.0,true,72
2017-04-13,12,4,1016.36,0.0,false,51
2017-02-26,7,5,1018.88,0.0,false,61
2017-05-18,20,10,1013.89,1.0,true,58
2017-06-08,16,4,1019.68,0.0,false,61
2017-03-29,12,5,1026.71,0.0,false,59
2017-02-06,2,4,1014.65,1.0,true,91
2017-03-25,10,17,1018.99,0.6,true,71
2017-02-10,2,4,1018.75,0.2,false,87
2017-04-21,8,16,1029.72,0.0,false,36
2017-03-09,10,5,1025.34,0.1,true,84
2017-05-22,16,5,1018.53,0.0,false,61
2017-04-17,9,5,1019.64,0.0,false,58
2017-06-24,25,8,1017.86,2.0,false,54
2017-03-05,6,21,1008.9,5.0,true,76
2017-03-06,6,17,1008.72,16.0,true,81
2017-06-23,27,8,1018.1,0.0,false,55
2017-04-18,8,14,1020.97,0.7,true,45
2017-06-27,24,7,1008.49,5.0,true,68
2017-05-21,12,6,1023.2,0.0,false,67
2017-03-10,9,8,1024.28,0.0,false,72
2017-04-22,10,5,1024.07,0.0,false,46
2017-03-26,9,11,1020.63,0.6,true,70
2017-02-09,3,13,1019.47,0.2,true,74
2017-03-30,12,4,1025.39,0.0,false,62
2017-02-05,0,3,1004.79,13.0,true,95
2017-06-07,14,12,1020.89,0.0,false,54
2017-05-17,18,5,1020.69,0.0,false,61
2017-02-25,4,9,1020.74,0.0,false,63
2017-04-14,12,4,1016.01,0.0,false,56
2017-04-02,10,8,1016.85,0.1,true,74
2017-05-01,8,17,1014.79,1.0,true,81
2017-06-11,22,5,1018.36,0.0,false,62
2017-05-13,14,4,1013.99,0.4,true,83
2017-06-03,21,6,1014.92,6.0,true,75
